Datetime,Buy_Count,Sell_Count
2022-02-09 16:30:00+00:00,0,42
2022-02-09 17:30:00+00:00,0,37
2022-02-09 18:30:00+00:00,1,38
2022-02-09 19:30:00+00:00,1,46
2022-02-09 20:30:00+00:00,1,53
2022-02-10 14:30:00+00:00,5,52
2022-02-10 15:30:00+00:00,9,39
2022-02-10 16:30:00+00:00,7,42
2022-02-10 17:30:00+00:00,8,23
2022-02-10 18:30:00+00:00,8,29
2022-02-10 19:30:00+00:00,10,12
2022-02-10 20:30:00+00:00,10,8
2022-02-11 14:30:00+00:00,23,6
2022-02-11 15:30:00+00:00,44,4
2022-02-11 16:30:00+00:00,43,4
2022-02-11 17:30:00+00:00,54,3
2022-02-11 18:30:00+00:00,68,1
2022-02-11 19:30:00+00:00,65,1
2022-02-11 20:30:00+00:00,68,1
2022-02-14 14:30:00+00:00,68,0
2022-02-14 15:30:00+00:00,63,1
2022-02-14 16:30:00+00:00,67,0
2022-02-14 17:30:00+00:00,56,0
2022-02-14 18:30:00+00:00,58,0
2022-02-14 19:30:00+00:00,52,0
2022-02-14 20:30:00+00:00,48,0
2022-02-15 14:30:00+00:00,15,0
2022-02-15 15:30:00+00:00,6,0
2022-02-15 16:30:00+00:00,10,0
2022-02-15 17:30:00+00:00,6,0
2022-02-15 18:30:00+00:00,3,22
2022-02-15 19:30:00+00:00,3,28
2022-02-15 20:30:00+00:00,1,35
2022-02-16 14:30:00+00:00,1,12
2022-02-16 15:30:00+00:00,2,11
2022-02-16 16:30:00+00:00,2,12
2022-02-16 17:30:00+00:00,2,15
2022-02-16 18:30:00+00:00,2,31
2022-02-16 19:30:00+00:00,2,38
2022-02-16 20:30:00+00:00,2,32
2022-02-17 14:30:00+00:00,13,5
2022-02-17 15:30:00+00:00,10,5
2022-02-17 16:30:00+00:00,11,1
2022-02-17 17:30:00+00:00,16,2
2022-02-17 18:30:00+00:00,17,2
2022-02-17 19:30:00+00:00,28,0
2022-02-17 20:30:00+00:00,38,0
2022-02-18 14:30:00+00:00,27,1
2022-02-18 15:30:00+00:00,40,2
2022-02-18 16:30:00+00:00,41,1
2022-02-18 17:30:00+00:00,49,1
2022-02-18 18:30:00+00:00,43,1
2022-02-18 19:30:00+00:00,61,1
2022-02-18 20:30:00+00:00,55,1
2022-02-22 14:30:00+00:00,18,1
2022-02-22 15:30:00+00:00,37,2
2022-02-22 16:30:00+00:00,32,0
2022-02-22 17:30:00+00:00,36,0
2022-02-22 18:30:00+00:00,34,0
2022-02-22 19:30:00+00:00,12,0
2022-02-22 20:30:00+00:00,15,0
2022-02-23 14:30:00+00:00,15,0
2022-02-23 15:30:00+00:00,13,0
2022-02-23 16:30:00+00:00,6,1
2022-02-23 17:30:00+00:00,9,0
2022-02-23 18:30:00+00:00,21,1
2022-02-23 19:30:00+00:00,19,0
2022-02-23 20:30:00+00:00,26,0
2022-02-24 14:30:00+00:00,61,0
2022-02-24 15:30:00+00:00,31,1
2022-02-24 16:30:00+00:00,30,1
2022-02-24 17:30:00+00:00,23,4
2022-02-24 18:30:00+00:00,15,2
2022-02-24 19:30:00+00:00,15,1
2022-02-24 20:30:00+00:00,6,7
2022-02-25 14:30:00+00:00,3,8
2022-02-25 15:30:00+00:00,3,16
2022-02-25 16:30:00+00:00,1,14
2022-02-25 17:30:00+00:00,3,28
2022-02-25 18:30:00+00:00,1,44
2022-02-25 19:30:00+00:00,1,47
2022-02-25 20:30:00+00:00,0,62
2022-02-28 14:30:00+00:00,0,60
2022-02-28 15:30:00+00:00,0,65
2022-02-28 16:30:00+00:00,0,51
2022-02-28 17:30:00+00:00,0,44
2022-02-28 18:30:00+00:00,0,23
2022-02-28 19:30:00+00:00,0,21
2022-02-28 20:30:00+00:00,0,20
2022-03-01 14:30:00+00:00,1,19
2022-03-01 15:30:00+00:00,1,13
2022-03-01 16:30:00+00:00,8,8
2022-03-01 17:30:00+00:00,9,9
2022-03-01 18:30:00+00:00,6,9
2022-03-01 19:30:00+00:00,7,4
2022-03-01 20:30:00+00:00,11,3
2022-03-02 14:30:00+00:00,3,6
2022-03-02 15:30:00+00:00,7,2
2022-03-02 16:30:00+00:00,6,6
2022-03-02 17:30:00+00:00,4,7
2022-03-02 18:30:00+00:00,2,16
2022-03-02 19:30:00+00:00,5,12
2022-03-02 20:30:00+00:00,6,8
2022-03-03 14:30:00+00:00,18,11
2022-03-03 15:30:00+00:00,9,10
2022-03-03 16:30:00+00:00,13,13
2022-03-03 17:30:00+00:00,6,24
2022-03-03 18:30:00+00:00,9,19
2022-03-03 19:30:00+00:00,10,17
2022-03-03 20:30:00+00:00,9,14
2022-03-04 14:30:00+00:00,23,3
2022-03-04 15:30:00+00:00,45,4
2022-03-04 16:30:00+00:00,40,6
2022-03-04 17:30:00+00:00,46,7
2022-03-04 18:30:00+00:00,47,5
2022-03-04 19:30:00+00:00,50,5
2022-03-04 20:30:00+00:00,47,5
2022-03-07 14:30:00+00:00,53,6
2022-03-07 15:30:00+00:00,48,5
2022-03-07 16:30:00+00:00,48,6
2022-03-07 17:30:00+00:00,61,5
2022-03-07 18:30:00+00:00,63,2
2022-03-07 19:30:00+00:00,59,4
2022-03-07 20:30:00+00:00,63,3
2022-03-08 14:30:00+00:00,61,3
2022-03-08 15:30:00+00:00,54,2
2022-03-08 16:30:00+00:00,26,2
2022-03-08 17:30:00+00:00,28,2
2022-03-08 18:30:00+00:00,26,2
2022-03-08 19:30:00+00:00,28,1
2022-03-08 20:30:00+00:00,39,1
2022-03-09 14:30:00+00:00,8,6
2022-03-09 15:30:00+00:00,8,2
2022-03-09 16:30:00+00:00,5,6
2022-03-09 17:30:00+00:00,4,14
2022-03-09 18:30:00+00:00,4,9
2022-03-09 19:30:00+00:00,0,21
2022-03-09 20:30:00+00:00,2,30
2022-03-10 14:30:00+00:00,4,15
2022-03-10 15:30:00+00:00,4,10
2022-03-10 16:30:00+00:00,8,4
2022-03-10 17:30:00+00:00,6,2
2022-03-10 18:30:00+00:00,2,10
2022-03-10 19:30:00+00:00,2,10
2022-03-10 20:30:00+00:00,1,16
2022-03-11 14:30:00+00:00,11,7
2022-03-11 15:30:00+00:00,9,7
2022-03-11 16:30:00+00:00,27,4
2022-03-11 17:30:00+00:00,28,4
2022-03-11 18:30:00+00:00,24,5
2022-03-11 19:30:00+00:00,39,5
2022-03-11 20:30:00+00:00,41,0
2022-03-14 13:30:00+00:00,18,5
2022-03-14 14:30:00+00:00,19,8
2022-03-14 15:30:00+00:00,36,4
2022-03-14 16:30:00+00:00,41,1
2022-03-14 17:30:00+00:00,56,0
2022-03-14 18:30:00+00:00,47,0
2022-03-14 19:30:00+00:00,49,0
2022-03-15 13:30:00+00:00,26,1
2022-03-15 14:30:00+00:00,17,2
2022-03-15 15:30:00+00:00,13,3
2022-03-15 16:30:00+00:00,17,1
2022-03-15 17:30:00+00:00,16,0
2022-03-15 18:30:00+00:00,5,5
2022-03-15 19:30:00+00:00,3,9
2022-03-16 13:30:00+00:00,0,30
2022-03-16 14:30:00+00:00,0,37
2022-03-16 15:30:00+00:00,3,45
2022-03-16 16:30:00+00:00,0,49
2022-03-16 17:30:00+00:00,1,21
2022-03-16 18:30:00+00:00,0,50
2022-03-16 19:30:00+00:00,0,63
2022-03-17 13:30:00+00:00,1,45
