Date_Time,Buy_Count,Sell_Count,B_S,Position,Close
2024-04-17 19:30:00+00:00,16,8,8,No Signal,17491.1582
2024-04-18 13:30:00+00:00,18,12,6,No Signal,17506.23242
2024-04-18 14:30:00+00:00,20,10,10,No Signal,17555.89453
2024-04-18 15:30:00+00:00,25,9,16,No Signal,17533.25391
2024-04-18 16:30:00+00:00,30,9,21,No Signal,17437.41211
2024-04-18 17:30:00+00:00,25,9,16,No Signal,17412.25781
2024-04-18 18:30:00+00:00,34,8,26,No Signal,17410.54492
2024-04-18 19:30:00+00:00,30,10,20,No Signal,17394.10742
2024-04-19 13:30:00+00:00,34,9,25,No Signal,17220.98047
2024-04-19 14:30:00+00:00,34,10,24,No Signal,17186.54492
2024-04-19 15:30:00+00:00,38,8,30,No Signal,17064.09961
2024-04-19 16:30:00+00:00,33,10,23,No Signal,17118.74609
2024-04-19 17:30:00+00:00,36,10,26,No Signal,17071.25781
2024-04-19 18:30:00+00:00,33,11,22,No Signal,17038.78516
2024-04-19 19:30:00+00:00,33,11,22,No Signal,17038.07422
2024-04-22 13:30:00+00:00,30,13,17,No Signal,17049.4668
2024-04-22 14:30:00+00:00,43,11,32,No Signal,17062.19141
2024-04-22 15:30:00+00:00,31,13,18,No Signal,17118.34766
2024-04-22 16:30:00+00:00,13,23,-10,No Signal,17199.375
2024-04-22 17:30:00+00:00,2,27,-25,Short,17286.2793
2024-04-22 18:30:00+00:00,5,20,-15,No Signal,17249.48047
2024-04-22 19:30:00+00:00,6,18,-12,No Signal,17212.78906
2024-04-23 13:30:00+00:00,0,22,-22,No Signal,17425.7793
2024-04-23 14:30:00+00:00,0,37,-37,No Signal,17449.86719
2024-04-23 15:30:00+00:00,0,51,-51,No Signal,17465.49023
2024-04-23 16:30:00+00:00,0,44,-44,No Signal,17458.10352
2024-04-23 17:30:00+00:00,0,58,-58,No Signal,17507.78906
2024-04-23 18:30:00+00:00,0,56,-56,No Signal,17487.26563
2024-04-23 19:30:00+00:00,0,54,-54,No Signal,17471.73438
2024-04-24 13:30:00+00:00,3,54,-51,No Signal,17590.82031
2024-04-24 14:30:00+00:00,1,48,-47,No Signal,17520.85938
2024-04-24 15:30:00+00:00,0,37,-37,No Signal,17470.0293
2024-04-24 16:30:00+00:00,1,31,-30,No Signal,17515.26758
2024-04-24 17:30:00+00:00,1,25,-24,No Signal,17502.86719
2024-04-24 18:30:00+00:00,0,33,-33,No Signal,17533.26563
2024-04-24 19:30:00+00:00,1,34,-33,No Signal,17528.63281
2024-04-25 13:30:00+00:00,19,10,9,No Signal,17306.91211
2024-04-25 14:30:00+00:00,19,8,11,No Signal,17278.4082
2024-04-25 15:30:00+00:00,15,8,7,No Signal,17333.61914
2024-04-25 16:30:00+00:00,13,10,3,No Signal,17366.72852
2024-04-25 17:30:00+00:00,11,8,3,No Signal,17390.55078
